"Environment and Climate Change Canada"
"Monthly Values for May - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"HUSSAR AGDM","51.183","-112.500","AB","10.7","4",NA,"29.1","3","-2.2","2","",,NA,"73.6","5",NA,"","6","",,NA,"199.1","1.5","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","10.0","0",NA,"28.5","0","-5.3","0","",,NA,"79.1","0",NA,"","7","",,NA,"248.0","0.0","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","8.9","3",NA,"28.0","2","-9.0","1","",,NA,"67.2","3",NA,"","8","",,NA,"255.8","0.0","3023740"
"LINDEN AGCM","51.619","-113.656","AB","9.0","0",NA,"29.2","0","-8.4","0","",,NA,"45.6","16",NA,"","7","",,NA,"278.5","0.0","3023850"
"MORRIN AGDM","51.660","-112.675","AB","10.5","3",NA,"29.3","2","-6.1","1","",,NA,"104.6","2",NA,"","15","",,NA,"210.2","1.2","3024668"
"OLDS AGDM","51.759","-114.085","AB","9.9","2",NA,"27.9","1","-3.0","1","",,NA,"45.9","2",NA,"","9","",,NA,"234.6","0.0","3024925"
"OYEN AGDM","51.383","-110.350","AB","11.5","7",NA,"28.8","4","-6.4","4","",,NA,"50.9","7",NA,"0.0","7","",,NA,"157.1","1.5","3024965"
"POLLOCKVILLE AGDM","51.125","-111.705","AB","10.2","6",NA,"29.6","6","-8.5","2","",,NA,"53.3","6",NA,"","5","",,NA,"194.7","0.4","3025243"
"PRENTISS","52.433","-113.600","AB","10.8","2",NA,"27.9","1","-1.3","1","",,NA,"67.6","3",NA,"","6","",,NA,"209.7","1.8","3025297"
"RED DEER REGIONAL A","52.182","-113.894","AB","9.8","0",NA,"28.4","0","-4.4","0","2.0","1",NA,"55.6","2",NA,"","8","",,NA,"255.5","0.0","3025481"
