"Environment and Climate Change Canada"
"Monthly Values for January - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BOW ISLAND","49.734","-111.450","AB","-6.3","0",NA,"11.5","0","-27.7","0","",,NA,"11.1","0",NA,"","3","",,NA,"754.6","0.0","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","-6.3","0",NA,"11.4","0","-26.3","0","",,NA,"11.1","1",NA,"","5","",,NA,"754.6","0.0","3030772"
"BROCKET AGDM","49.617","-113.817","AB","-3.6","0",NA,"8.4","0","-29.6","0","",,NA,"12.1","10",NA,"","3","",,NA,"669.3","0.0","3030830"
"BROOKS","50.555","-111.849","AB","-8.2","0",NA,"13.4","0","-26.3","0","",,NA,"8.4","0",NA,"0.0","3","",,NA,"811.1","0.0","3030QLP"
"CALGARY INTL A","51.123","-114.013","AB","-5.4","0",NA,"12.8","0","-25.5","0","15.3","0",NA,"12.1","0",NA,"1.0","4","",,NA,"724.0","0.0","3031092"
"CALGARY INT'L CS","51.109","-114.000","AB","-6.0","0",NA,"10.7","0","-26.0","0","",,NA,"7.0","0",NA,"0.0","2","",,NA,"744.4","0.0","3031094"
"CARDSTON","49.201","-113.286","AB","-3.5","0",NA,"13.2","0","-25.5","0","",,NA,"25.1","0",NA,"","4","",,NA,"666.3","0.0","3031322"
"CARWAY","49.001","-113.376","AB","-4.0","1",NA,"11.6","0","-22.9","1","",,NA,"22.1","2",NA,"2.0","4","",,NA,"658.7","0.0","3031402"
"CHAMPION AGDM","50.282","-113.350","AB","-6.5","0",NA,"12.9","0","-26.5","0","",,NA,"4.3","0",NA,"","1","",,NA,"759.7","0.0","3031480"
"CLARESHOLM","50.004","-113.639","AB","-5.3","0",NA,"14.1","0","-27.6","0","",,NA,"9.1","0",NA,"1.0","3","",,NA,"721.0","0.0","3031640"
