"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"RIVERCOURSE AGCM","53.019","-110.102","AB","-6.2","2",NA,"11.2","1","-26.0","1","",,NA,"22.5","2",NA,"","4","",,NA,"702.0","0.0","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","-5.7","1",NA,"13.8","0","-32.2","1","",,NA,"22.5","1",NA,"8.0","6","",,NA,"710.2","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","-5.4","1",NA,"14.0","0","-27.8","1","",,NA,"16.6","1",NA,"","4","",,NA,"702.4","0.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","-6.8","4",NA,"8.9","3","-30.0","1","",,NA,"24.7","4",NA,"","4","",,NA,"670.8","0.0","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","-8.2","3",NA,"8.2","3","-28.6","1","",,NA,"49.7","3",NA,"","13","",,NA,"733.2","0.0","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","-3.4","1",NA,"16.8","0","-24.0","1","",,NA,"9.9","1",NA,"","4","",,NA,"640.5","0.0","3015797"
"SHONTS AGCM","53.333","-112.539","AB","-6.2","1",NA,"12.1","0","-27.1","1","",,NA,"16.8","1",NA,"","4","",,NA,"727.3","0.0","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","-6.2","1",NA,"10.0","0","-25.7","1","",,NA,"14.7","1",NA,"","4","",,NA,"726.9","0.0","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","-4.3","1",NA,"14.3","0","-26.5","1","",,NA,"8.3","23",NA,"","2","",,NA,"668.9","0.0","3016070"
"STETTLER AGDM","52.347","-112.596","AB","-5.2","1",NA,"12.7","1","-24.8","0","",,NA,"16.2","1",NA,"","7","",,NA,"696.2","0.0","3016124"
