"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"UNCAS","53.500","-113.033","AB","",,NA,"",,"",,"53.0","0",NA,"81.6","0",NA,"0.0","13","","",NA,"","","3016650"
"TWO HILLS AGDM","53.625","-111.678","AB","2.5","5",NA,"16.5","3","-8.6","3","",,NA,"56.2","5",NA,"","7","",,NA,"386.5","0.0","3016655"
"VERMILION AGDM","53.344","-110.882","AB","3.0","4",NA,"17.4","1","-7.4","4","",,NA,"49.3","4",NA,"","10","",,NA,"390.1","0.0","3016802"
"VIKING AGCM","53.182","-111.732","AB","2.8","5",NA,"16.6","3","-7.2","3","",,NA,"55.6","5",NA,"","11","",,NA,"379.2","0.0","3016841"
"VILNA AGCM","54.130","-111.921","AB","2.0","2",NA,"16.2","2","-9.9","0","",,NA,"54.8","2",NA,"","11","",,NA,"448.0","0.0","3016852"
"VIOLET GROVE CS","53.144","-115.126","AB","2.5","0",NA,"13.4","0","-10.1","0","",,NA,"57.3","0",NA,"8.0","8","",,NA,"464.7","0.0","3016860"
"VEGREVILLE","53.505","-112.098","AB","3.2","0","-1.1","17.2","0","-11.2","0","",,NA,"66.6","0","313.0","","9","",,NA,"445.2","0.0","3016GF0"
"WETASKIWIN AGCM","52.980","-113.444","AB","2.7","9",NA,"16.0","7","-10.3","3","",,NA,"46.9","11",NA,"","10","",,NA,"321.7","0.0","3017282"
"EDMONTON STONY PLAIN CS","53.547","-114.108","AB","2.9","1",NA,"14.4","1","-8.3","0","",,NA,"79.0","1",NA,"","11","",,NA,"439.0","0.0","301A001"
"ESTHER 1","51.670","-110.206","AB","3.8","0",NA,"22.2","0","-10.3","0","",,NA,"24.1","0",NA,"","5","",,NA,"425.7","0.0","301B460"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","4.1","2","-1.0","17.0","1","-6.0","1","30.0","1",NA,"83.8","1",NA,"0.0","11","","",NA,"390.0","0.0","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","2.8","1",NA,"18.8","1","-7.7","0","",,NA,"65.3","2",NA,"","11","",,NA,"439.8","0.0","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","4.9","0",NA,"21.3","0","-7.8","0","",,NA,"22.5","1",NA,"","6","",,NA,"393.7","0.0","3020035"
"ATLEE AGCM","50.810","-111.006","AB","5.2","0",NA,"20.6","0","-6.5","0","",,NA,"19.9","1",NA,"","7","",,NA,"383.0","0.0","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","3.9","0",NA,"19.5","0","-10.3","0","",,NA,"31.8","0",NA,"","5","",,NA,"422.6","0.0","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","3.8","11",NA,"19.4","7","-8.0","4","",,NA,"10.5","12",NA,"","4","",,NA,"270.4","0.0","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","3.9","0",NA,"20.3","0","-9.7","0","",,NA,"21.0","1",NA,"","6","",,NA,"422.8","0.0","3021912"
"CRAIGMYLE","51.767","-112.283","AB","4.2","1","-0.7","20.0","1","-10.0","1","31.0","1",NA,"43.6","1",NA,"0.0","8","","",NA,"399.5","0.0","3021940"
"DRUMHELLER EAST","51.445","-112.677","AB","5.8","4",NA,"21.1","4","-6.8","2","",,NA,"16.3","18",NA,"","3","",,NA,"316.2","0.0","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","2.9","4",NA,"16.3","3","-12.8","1","",,NA,"34.9","5",NA,"","7","",,NA,"393.7","0.0","3023200"
"HUSSAR AGDM","51.183","-112.500","AB","3.7","5",NA,"18.8","3","-9.1","3","",,NA,"16.6","5",NA,"","5","",,NA,"356.5","0.0","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","3.3","0",NA,"17.0","0","-9.6","0","",,NA,"24.7","0",NA,"1.0","6","",,NA,"442.2","0.0","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","3.1","7",NA,"14.9","4","-13.3","6","",,NA,"14.4","7",NA,"0.0","4","",,NA,"342.9","0.0","3023740"
"LINDEN AGCM","51.619","-113.656","AB","3.6","0",NA,"19.4","0","-11.1","0","",,NA,"15.8","5",NA,"","6","",,NA,"432.7","0.0","3023850"
"MORRIN AGDM","51.660","-112.675","AB","3.6","3",NA,"19.3","1","-9.5","3","",,NA,"23.6","4",NA,"","5","",,NA,"388.8","0.0","3024668"
"OLDS AGDM","51.759","-114.085","AB","3.2","3",NA,"16.5","1","-9.2","3","",,NA,"15.7","4",NA,"","6","",,NA,"399.7","0.0","3024925"
"OYEN AGDM","51.383","-110.350","AB","3.3","15",NA,"20.4","10","-6.8","6","",,NA,"19.4","18",NA,"","3","",,NA,"220.6","0.0","3024965"
"POLLOCKVILLE AGDM","51.125","-111.705","AB","4.6","4",NA,"21.2","2","-8.9","3","",,NA,"15.1","5",NA,"","4","",,NA,"348.3","0.0","3025243"
"PRENTISS","52.433","-113.600","AB","3.1","3",NA,"16.8","1","-8.7","3","",,NA,"20.7","8",NA,"","8","",,NA,"401.5","0.0","3025297"
"RED DEER REGIONAL A","52.182","-113.894","AB","",,NA,"",,"",,"22.4","0",NA,"29.6","0",NA,"0.0","8","",,NA,"","","3025481"
"SCHULER AGDM","50.307","-110.091","AB","5.3","5",NA,"21.7","2","-6.4","3","",,NA,"32.7","6",NA,"","7","",,NA,"318.6","0.0","3025768"
"SIBBALD WESTGARD","51.425","-110.146","AB","4.5","0",NA,"22.0","0","-9.0","0","4.0","0",NA,"35.4","0",NA,"0.0","8","","",NA,"406.1","0.0","3025928"
"THREE HILLS","51.768","-113.206","AB","3.5","4",NA,"19.2","3","-11.1","1","",,NA,"33.5","6",NA,"","6","",,NA,"377.7","0.0","3026479"
"SUNDRE A","51.778","-114.683","AB","2.9","0",NA,"16.6","0","-9.5","0","",,NA,"55.2","0",NA,"","12","",,NA,"453.8","0.0","3026KNQ"
"WIMBORNE AGCM","51.936","-113.591","AB","3.2","1",NA,"18.9","0","-10.4","1","",,NA,"29.9","2",NA,"","6","",,NA,"428.9","0.0","3027582"
"AZURE","50.512","-114.013","AB","4.5","0",NA,"17.2","0","-6.2","0","",,NA,"77.4","5",NA,"","11","",,NA,"404.7","0.0","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","6.4","7",NA,"20.6","6","-5.5","3","",,NA,"14.8","7",NA,"","4","",,NA,"266.4","0.0","3030525"
