"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"WETASKIWIN AGCM","52.980","-113.444","AB","15.2","5",NA,"29.3","3","4.3","2","",,NA,"64.1","6",NA,"","6","",,NA,"75.7","6.3","3017282"
"EDMONTON STONY PLAIN CS","53.547","-114.108","AB","15.1","0",NA,"27.4","0","5.8","0","",,NA,"72.1","0",NA,"","10","",,NA,"95.2","8.3","301A001"
"ESTHER 1","51.670","-110.206","AB","15.6","0",NA,"32.1","0","3.1","0","",,NA,"45.3","0",NA,"","6","",,NA,"83.4","11.9","301B460"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","16.7","2","1.7","28.0","1","6.0","1","0.0","1",NA,"50.6","1",NA,"0.0","13","","",NA,"50.1","14.8","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","15.2","0",NA,"29.0","0","4.4","0","",,NA,"50.6","0",NA,"","9","",,NA,"92.2","7.2","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","16.4","0",NA,"32.2","0","4.9","0","",,NA,"94.8","0",NA,"","12","",,NA,"62.8","15.1","3020035"
"ATLEE AGCM","50.810","-111.006","AB","16.3","0",NA,"32.5","0","4.3","0","",,NA,"62.4","0",NA,"","8","",,NA,"70.5","18.6","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","14.7","0",NA,"29.3","0","3.0","0","",,NA,"103.2","0",NA,"","9","",,NA,"104.2","5.1","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","14.9","0",NA,"27.6","0","4.3","0","",,NA,"83.2","0",NA,"","10","",,NA,"98.7","4.8","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","15.1","2",NA,"30.0","1","3.3","1","",,NA,"37.8","2",NA,"","7","",,NA,"88.2","5.7","3021912"
"CRAIGMYLE","51.767","-112.283","AB","15.3","4","0.7","30.0","4","2.0","4","0.0","4",NA,"56.4","4",NA,"","10","","",NA,"76.7","7.1","3021940"
"DRUMHELLER EAST","51.445","-112.677","AB","16.5","1",NA,"30.5","1","4.7","1","",,NA,"61.1","1",NA,"","9","",,NA,"57.7","15.3","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","14.1","2",NA,"29.7","2","1.6","0","",,NA,"90.7","2",NA,"","9","",,NA,"113.0","2.9","3023200"
"HUSSAR AGDM","51.183","-112.500","AB","14.2","4",NA,"27.4","3","3.7","2","",,NA,"47.1","5",NA,"","6","",,NA,"99.4","1.1","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","14.8","0",NA,"28.2","0","3.7","0","",,NA,"69.7","0",NA,"","6","",,NA,"101.6","6.1","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","14.3","22",NA,"29.3","21","3.0","15","",,NA,"1.9","21",NA,"","1","",,NA,"32.3","3.0","3023740"
"LINDEN AGCM","51.619","-113.656","AB","14.2","1",NA,"28.5","1","1.5","0","",,NA,"59.2","1",NA,"","5","",,NA,"114.4","3.1","3023850"
"MORRIN AGDM","51.660","-112.675","AB","14.1","2",NA,"28.4","2","2.5","0","",,NA,"81.6","3",NA,"","10","",,NA,"113.9","4.8","3024668"
"OLDS AGDM","51.759","-114.085","AB","13.9","2",NA,"28.6","2","5.1","0","",,NA,"48.0","2",NA,"","7","",,NA,"116.2","1.6","3024925"
"OYEN AGDM","51.383","-110.350","AB","15.3","4",NA,"30.4","3","4.0","1","",,NA,"39.7","7",NA,"","5","",,NA,"78.9","8.5","3024965"
"POLLOCKVILLE AGDM","51.125","-111.705","AB","15.0","4",NA,"32.6","3","1.3","1","",,NA,"42.5","4",NA,"","10","",,NA,"83.2","4.9","3025243"
"PRENTISS","52.433","-113.600","AB","14.0","3",NA,"26.2","3","4.5","0","",,NA,"82.2","4",NA,"","6","",,NA,"109.3","1.7","3025297"
"RED DEER REGIONAL A","52.182","-113.894","AB","",,NA,"",,"",,"0.0","0",NA,"95.6","0",NA,"0.0","7","",,NA,"","","3025481"
"SCHULER AGDM","50.307","-110.091","AB","15.7","3",NA,"31.9","2","3.7","1","",,NA,"60.1","3",NA,"","10","",,NA,"71.7","8.9","3025768"
"SIBBALD WESTGARD","51.425","-110.146","AB","15.7","7",NA,"32.5","7","2.0","7","0.0","7",NA,"62.6","7",NA,"","10","","",NA,"62.1","9.4","3025928"
"THREE HILLS","51.768","-113.206","AB","14.1","7",NA,"29.1","7","1.6","1","",,NA,"22.8","7",NA,"","6","",,NA,"91.9","3.0","3026479"
"SUNDRE A","51.778","-114.683","AB","13.5","0",NA,"30.4","0","0.3","0","",,NA,"59.1","0",NA,"","7","",,NA,"137.3","3.4","3026KNQ"
"WIMBORNE AGCM","51.936","-113.591","AB","14.5","0",NA,"28.9","0","3.1","0","",,NA,"81.7","0",NA,"","8","",,NA,"111.5","5.7","3027582"
"AZURE","50.512","-114.013","AB","14.4","0",NA,"31.5","0","1.5","0","",,NA,"34.7","13",NA,"","3","",,NA,"111.4","3.4","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","16.6","3",NA,"32.2","2","5.4","2","",,NA,"54.4","3",NA,"","6","",,NA,"51.3","14.8","3030525"
"BARONS AGCM","50.026","-113.224","AB","15.4","0",NA,"31.5","0","3.0","0","",,NA,"46.8","0",NA,"","9","",,NA,"87.2","8.5","3030529"
"BASSANO AGCM","50.893","-112.465","AB","15.4","0",NA,"31.8","0","3.4","0","",,NA,"71.0","0",NA,"","10","",,NA,"84.9","7.2","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","13.5","0",NA,"30.2","0","-1.4","0","",,NA,"16.1","20",NA,"","4","",,NA,"136.6","1.9","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","14.6","6",NA,"27.8","6","0.8","0","",,NA,"43.3","20",NA,"","4","",,NA,"83.8","2.5","3030720"
"BOW ISLAND","49.734","-111.450","AB","17.0","0",NA,"32.2","0","6.0","0","",,NA,"71.1","0",NA,"","10","",,NA,"52.1","22.4","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","17.1","0",NA,"32.0","0","4.2","0","",,NA,"75.5","0",NA,"","9","",,NA,"50.7","24.7","3030772"
"BROCKET AGDM","49.617","-113.817","AB","14.4","3",NA,"30.1","3","0.5","0","",,NA,"50.6","3",NA,"","6","",,NA,"101.8","3.4","3030830"
"BROOKS","50.555","-111.849","AB","16.2","0",NA,"32.6","0","2.8","0","",,NA,"71.4","0",NA,"","9","",,NA,"67.7","12.9","3030QLP"
"CALGARY INTL A","51.123","-114.013","AB","15.8","2",NA,"32.1","0","4.5","2","0.0","0",NA,"41.5","0",NA,"","8","",,NA,"71.6","8.6","3031092"
"CALGARY INT'L CS","51.109","-114.000","AB","15.1","0",NA,"31.3","0","4.6","0","",,NA,"41.2","0",NA,"","8","",,NA,"93.5","5.8","3031094"
"CARDSTON","49.201","-113.286","AB","15.5","0",NA,"32.6","0","3.8","0","",,NA,"43.0","0",NA,"","8","",,NA,"84.1","9.5","3031322"
"CARWAY","49.001","-113.376","AB","13.8","0",NA,"28.1","0","1.5","0","",,NA,"42.8","0",NA,"","6","",,NA,"129.2","1.9","3031402"
"CHAMPION AGDM","50.282","-113.350","AB","15.1","0",NA,"32.6","0","-1.7","0","",,NA,"34.4","2",NA,"","6","",,NA,"94.1","7.1","3031480"
"CLARESHOLM","50.004","-113.639","AB","15.2","0",NA,"31.2","0","1.1","0","",,NA,"39.7","0",NA,"","6","",,NA,"91.2","7.2","3031640"
"COP UPPER","51.076","-114.222","AB","15.1","0",NA,"30.4","0","4.5","0","",,NA,"52.1","0",NA,"","7","",,NA,"94.8","6.3","3031875"
"ENCHANT AGDM","50.183","-112.433","AB","16.7","4",NA,"31.9","4","4.7","0","",,NA,"53.6","4",NA,"","7","",,NA,"47.5","13.8","3032422"
"ETZIKOM AGCM","49.553","-111.054","AB","15.8","0",NA,"32.6","0","1.3","0","",,NA,"53.5","0",NA,"","10","",,NA,"85.7","18.4","3032450"
"FINCASTLE AGDM","49.800","-112.033","AB","17.0","0",NA,"32.1","0","5.9","0","",,NA,"63.3","0",NA,"","8","",,NA,"49.7","19.4","3032550"
"FOREMOST AGDM","49.483","-111.486","AB","15.9","7",NA,"33.1","4","3.1","3","",,NA,"46.4","8",NA,"","7","",,NA,"59.8","11.4","3032642"
"FORT MACLEOD AGCM","49.786","-113.379","AB","15.5","0",NA,"33.4","0","1.8","0","",,NA,"24.7","6",NA,"","5","",,NA,"83.3","9.6","3032683"
"GLEICHEN AGCM","50.934","-112.941","AB","15.4","0",NA,"30.4","0","4.6","0","",,NA,"68.0","0",NA,"","9","",,NA,"85.7","7.8","3032801"
"GRASSY LAKE","49.874","-111.733","AB","17.3","0",NA,"32.8","0","7.2","0","",,NA,"75.3","0",NA,"","7","",,NA,"45.9","26.2","3032927"
"IRON SPRINGS AGDM","49.900","-112.733","AB","16.3","3",NA,"31.3","3","6.0","0","",,NA,"40.6","3",NA,"","6","",,NA,"55.9","9.6","3033498"
"IRVINE AGCM","49.989","-110.261","AB","16.6","0",NA,"33.2","0","3.1","0","",,NA,"48.3","0",NA,"","10","",,NA,"64.7","23.1","3033550"
